Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
173,female,group D,some college,standard,none,divorced,regularly,yes,3.0,private,5 - 10,54,68,68
609,male,group C,high school,free/reduced,none,divorced,regularly,no,4.0,private,< 5,46,46,44
674,male,group B,high school,free/reduced,none,married,sometimes,no,4.0,school_bus,< 5,53,51,37
850,male,group C,master's degree,standard,none,married,regularly,no,3.0,,5 - 10,82,56,62
470,female,group A,,standard,completed,married,regularly,yes,4.0,private,5 - 10,50,66,66
780,male,group C,master's degree,free/reduced,completed,married,sometimes,no,3.0,,< 5,81,81,86
973,male,group D,associate's degree,free/reduced,none,divorced,sometimes,yes,1.0,,5 - 10,57,49,50
127,female,group D,some high school,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,63,84,81
448,female,group C,master's degree,standard,none,single,sometimes,no,1.0,school_bus,> 10,59,65,67
986,male,group D,high school,free/reduced,none,married,never,yes,2.0,school_bus,5 - 10,75,72,75
828,female,group B,associate's degree,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,56,64,70
746,female,group C,associate's degree,standard,,married,sometimes,yes,4.0,school_bus,5 - 10,57,66,69
564,male,group E,bachelor's degree,free/reduced,none,married,sometimes,no,2.0,school_bus,5 - 10,60,57,55
433,male,group E,associate's degree,free/reduced,completed,widowed,sometimes,yes,6.0,private,5 - 10,64,59,61
929,male,group C,high school,free/reduced,none,single,sometimes,yes,2.0,school_bus,< 5,37,46,38
698,female,group D,,standard,completed,married,never,no,4.0,school_bus,5 - 10,83,90,94
626,female,,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10,81,80,77
511,male,group E,high school,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,71,64,55
491,female,,,standard,completed,married,sometimes,yes,2.0,,> 10,69,77,84
311,male,,associate's degree,standard,none,,sometimes,yes,6.0,school_bus,5 - 10,82,82,74
889,male,group D,some college,standard,completed,married,regularly,no,,school_bus,5 - 10,90,78,80
535,female,,associate's degree,standard,completed,married,never,yes,0.0,school_bus,< 5,41,50,54
36,male,group A,some college,standard,,married,sometimes,yes,1.0,school_bus,5 - 10,49,49,44
595,male,,,standard,none,divorced,sometimes,yes,1.0,private,5 - 10,60,57,51
195,male,group D,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52
321,male,group A,some college,standard,completed,married,regularly,yes,1.0,private,< 5,85,88,88
857,female,group E,some college,standard,none,married,sometimes,yes,1.0,school_bus,< 5,72,84,75
897,male,group D,,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,73,79,73
952,female,group C,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,81,91,92
523,female,group C,master's degree,free/reduced,none,divorced,,no,4.0,school_bus,5 - 10,54,70,73
278,female,group C,some high school,standard,none,single,regularly,,0.0,school_bus,5 - 10,64,58,58
23,female,group E,high school,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,77,87,83
822,male,group C,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,< 5,56,53,52
320,female,group C,associate's degree,free/reduced,completed,married,sometimes,yes,1.0,school_bus,< 5,46,67,62
598,female,group A,some high school,free/reduced,completed,married,sometimes,yes,2.0,,< 5,49,62,63
844,female,group E,high school,free/reduced,none,single,sometimes,no,2.0,school_bus,5 - 10,54,65,58
663,female,group E,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,64,69,66
336,female,group A,associate's degree,standard,none,single,sometimes,yes,4.0,private,5 - 10,70,68,78
644,female,group B,some college,standard,none,married,never,yes,3.0,private,5 - 10,44,58,54
184,female,,some college,standard,none,divorced,never,yes,1.0,school_bus,< 5,63,67,65
447,female,group C,high school,free/reduced,completed,,sometimes,no,1.0,private,< 5,64,64,70
409,male,group B,master's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,60,46,51
696,male,group B,some college,free/reduced,none,married,regularly,yes,2.0,,5 - 10,61,56,55
547,female,group E,some college,standard,,married,regularly,yes,3.0,school_bus,5 - 10,75,85,71
249,male,,some high school,free/reduced,completed,single,sometimes,no,1.0,school_bus,> 10,44,57,48
291,female,group B,bachelor's degree,standard,,married,sometimes,yes,1.0,school_bus,< 5,58,65,66
670,male,group D,high school,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,76,70,74
550,female,group C,some high school,free/reduced,completed,single,regularly,yes,2.0,school_bus,< 5,46,66,59
347,female,,high school,standard,none,married,never,no,3.0,school_bus,5 - 10,77,85,87
763,male,group D,some high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,< 5,48,45,49
516,female,group B,some college,free/reduced,none,single,sometimes,no,3.0,school_bus,5 - 10,51,58,58
863,male,group A,associate's degree,standard,completed,married,regularly,yes,4.0,school_bus,> 10,99,100,100
289,male,group B,high school,standard,none,married,sometimes,,2.0,private,5 - 10,85,82,79
376,female,group E,some college,standard,,divorced,regularly,yes,4.0,school_bus,5 - 10,59,60,58
997,male,group D,master's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,72,74,73
806,female,group C,master's degree,standard,completed,married,regularly,yes,3.0,school_bus,5 - 10,91,100,100
347,male,group D,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,83,65,68
713,male,group D,master's degree,standard,none,divorced,sometimes,no,1.0,school_bus,< 5,79,81,84
507,male,group E,bachelor's degree,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,50,49,48
367,female,group B,some college,free/reduced,completed,married,regularly,yes,1.0,school_bus,< 5,62,74,72
852,female,group E,master's degree,standard,,married,never,yes,0.0,,> 10,100,97,100
15,male,group D,associate's degree,standard,none,divorced,sometimes,yes,2.0,private,5 - 10,51,50,48
750,male,group C,high school,standard,none,married,regularly,no,2.0,school_bus,5 - 10,64,63,59
511,male,group E,associate's degree,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,76,65,66
379,female,,associate's degree,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,72,73,77
906,male,group E,associate's degree,free/reduced,none,married,sometimes,no,,private,< 5,57,48,45
138,male,group D,some college,standard,none,single,never,yes,1.0,private,5 - 10,65,58,59
409,female,group B,some college,standard,none,married,never,no,2.0,private,5 - 10,37,51,44
194,male,group E,some college,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,78,61,57
576,male,group D,some high school,standard,completed,married,regularly,no,3.0,school_bus,< 5,94,92,92
62,male,group D,master's degree,standard,none,married,sometimes,yes,4.0,private,< 5,73,72,70
460,male,group D,some high school,standard,none,married,regularly,no,2.0,school_bus,< 5,53,51,52
369,male,group C,master's degree,free/reduced,none,single,regularly,no,1.0,private,5 - 10,91,84,87
65,female,group B,bachelor's degree,free/reduced,completed,married,never,yes,2.0,school_bus,< 5,60,78,72
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40
484,female,group C,master's degree,standard,completed,divorced,never,yes,3.0,private,5 - 10,84,94,96
248,female,group D,associate's degree,standard,completed,,sometimes,yes,3.0,private,< 5,68,84,87
999,male,group E,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,< 5,74,65,59
397,male,,high school,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,74,79,75
218,male,group D,associate's degree,standard,none,married,sometimes,no,4.0,school_bus,< 5,69,67,63
624,female,group C,some college,free/reduced,completed,married,regularly,yes,1.0,,5 - 10,43,57,57
565,male,group C,some college,standard,none,married,regularly,no,1.0,school_bus,< 5,73,60,61
471,male,group D,,free/reduced,completed,single,sometimes,no,4.0,school_bus,5 - 10,65,67,62
888,male,group C,high school,free/reduced,,married,sometimes,no,3.0,school_bus,< 5,39,49,40
246,male,group D,some college,standard,none,married,regularly,no,5.0,,5 - 10,75,59,66
861,male,group A,high school,standard,none,,sometimes,yes,,private,5 - 10,86,83,78
140,female,group A,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,39,57,52
364,female,group C,bachelor's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,57,65,71
550,male,group D,some college,free/reduced,completed,married,sometimes,yes,1.0,school_bus,< 5,87,89,89
889,female,group C,bachelor's degree,standard,none,single,sometimes,yes,5.0,private,> 10,45,47,56
732,female,group E,some high school,free/reduced,none,married,sometimes,no,3.0,school_bus,< 5,49,62,57
607,female,,associate's degree,standard,completed,married,sometimes,yes,0.0,private,,71,82,77
465,male,group C,bachelor's degree,free/reduced,completed,married,regularly,yes,1.0,school_bus,> 10,71,73,74
57,female,group C,some college,standard,none,divorced,sometimes,no,1.0,private,< 5,70,74,73
422,female,group C,some college,standard,,,sometimes,yes,,school_bus,> 10,56,61,62
384,male,group D,some high school,standard,completed,married,regularly,yes,1.0,,< 5,68,73,77
185,male,group A,master's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,58,60,55
645,female,,bachelor's degree,free/reduced,none,married,sometimes,yes,0.0,private,< 5,55,77,72
930,female,group A,master's degree,free/reduced,none,married,sometimes,yes,3.0,private,5 - 10,52,69,64
354,female,group B,associate's degree,standard,none,single,sometimes,yes,2.0,,< 5,71,87,80
785,male,group B,associate's degree,free/reduced,none,married,regularly,yes,2.0,school_bus,< 5,60,57,54
61,female,group B,associate's degree,standard,none,divorced,regularly,yes,,private,< 5,80,95,88
853,female,group C,some college,standard,none,single,never,yes,3.0,school_bus,< 5,77,96,86
68,male,group B,master's degree,standard,completed,married,regularly,yes,4.0,private,5 - 10,84,76,77
364,female,group C,associate's degree,free/reduced,none,married,regularly,no,4.0,private,< 5,43,44,40
152,male,,some college,standard,none,single,regularly,yes,2.0,,5 - 10,50,50,44
549,male,group B,some high school,free/reduced,completed,married,sometimes,no,6.0,private,> 10,73,71,74
4,male,group C,some college,free/reduced,none,single,regularly,yes,2.0,school_bus,5 - 10,53,51,50
918,male,group C,some high school,standard,none,married,regularly,no,2.0,school_bus,< 5,87,79,80
363,male,group B,high school,free/reduced,none,divorced,regularly,yes,4.0,school_bus,5 - 10,60,53,44
762,female,group E,some high school,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,76,88,85
179,male,group C,associate's degree,standard,none,single,regularly,yes,1.0,private,> 10,85,75,73
845,male,group A,some high school,free/reduced,none,divorced,never,no,2.0,private,5 - 10,28,36,29
856,female,group B,high school,standard,completed,married,sometimes,no,3.0,private,< 5,71,85,81
346,male,group D,some high school,free/reduced,completed,married,never,yes,0.0,,5 - 10,50,59,46
293,male,group C,associate's degree,standard,none,married,regularly,no,1.0,private,5 - 10,92,89,88
763,male,group D,associate's degree,standard,none,single,sometimes,no,4.0,school_bus,,55,47,50
747,male,group B,some high school,standard,completed,widowed,sometimes,yes,2.0,school_bus,5 - 10,85,77,78
866,male,group C,some high school,standard,none,married,regularly,no,2.0,private,< 5,70,71,67
768,male,group D,some college,standard,completed,married,sometimes,yes,5.0,school_bus,5 - 10,97,87,92
570,female,group C,high school,standard,none,divorced,regularly,no,1.0,school_bus,5 - 10,88,94,97
767,female,group E,some college,free/reduced,none,single,never,yes,0.0,private,> 10,49,63,59
596,female,group C,some college,standard,none,single,regularly,yes,1.0,private,5 - 10,60,69,67
41,male,group C,some college,free/reduced,,married,never,yes,1.0,school_bus,5 - 10,72,72,72
151,male,group D,high school,standard,none,married,,yes,5.0,private,5 - 10,62,59,54
234,male,group C,some college,standard,none,married,regularly,yes,1.0,private,5 - 10,96,74,76
698,male,group E,bachelor's degree,standard,none,married,regularly,no,2.0,school_bus,> 10,100,80,88
435,female,group D,some college,standard,none,divorced,sometimes,no,1.0,school_bus,< 5,84,77,78
881,male,group C,bachelor's degree,free/reduced,none,married,regularly,no,1.0,private,> 10,43,56,56
70,male,group D,associate's degree,free/reduced,completed,married,sometimes,yes,2.0,,< 5,57,58,58
126,female,group D,some college,free/reduced,completed,single,sometimes,yes,1.0,school_bus,< 5,69,81,86
196,female,group D,associate's degree,free/reduced,,single,regularly,yes,,private,< 5,65,80,79
661,female,group C,bachelor's degree,standard,none,married,regularly,yes,3.0,private,5 - 10,71,77,76
675,male,group C,some high school,standard,completed,married,sometimes,yes,2.0,school_bus,< 5,50,46,44
65,female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,private,5 - 10,56,74,74
642,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,6.0,school_bus,5 - 10,67,70,78
654,female,group A,bachelor's degree,standard,completed,married,regularly,yes,1.0,private,< 5,56,66,65
440,female,group C,high school,free/reduced,none,married,never,yes,1.0,,5 - 10,50,51,50
67,female,group B,some college,standard,none,married,sometimes,yes,0.0,,< 5,65,72,66
458,female,,some college,free/reduced,completed,single,regularly,yes,2.0,private,5 - 10,65,82,90
71,male,group B,associate's degree,standard,completed,single,regularly,,0.0,school_bus,5 - 10,84,79,82
658,male,group C,,standard,none,single,sometimes,no,,school_bus,,83,76,71
901,male,group C,associate's degree,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,61,58,51
766,male,group B,bachelor's degree,standard,none,married,sometimes,no,1.0,private,,67,61,62
504,male,group C,,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,40,44,40
622,female,group C,high school,standard,completed,single,sometimes,yes,3.0,school_bus,< 5,42,61,64
986,female,group C,associate's degree,standard,none,,never,yes,,,5 - 10,38,58,49
968,male,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,private,< 5,78,74,72
44,male,group D,master's degree,standard,none,divorced,regularly,yes,3.0,school_bus,5 - 10,86,81,79
329,female,group D,associate's degree,free/reduced,none,married,sometimes,no,,,> 10,65,82,81
492,female,group B,master's degree,standard,none,widowed,regularly,yes,0.0,school_bus,5 - 10,75,86,88
606,male,group E,master's degree,standard,completed,divorced,regularly,no,1.0,private,> 10,100,100,100
517,female,group C,associate's degree,standard,completed,married,sometimes,yes,1.0,,< 5,42,56,56
333,male,group C,some high school,free/reduced,none,married,regularly,no,3.0,private,5 - 10,67,65,63
414,male,group D,some high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,42,26,32
548,male,group B,master's degree,free/reduced,none,married,sometimes,yes,1.0,school_bus,> 10,65,62,65
52,male,group C,high school,free/reduced,completed,,sometimes,yes,3.0,school_bus,5 - 10,81,72,73
293,male,group C,high school,standard,none,married,sometimes,no,3.0,school_bus,> 10,62,58,52
138,male,group A,some high school,standard,none,widowed,regularly,yes,5.0,school_bus,5 - 10,64,66,60
999,female,group C,high school,free/reduced,completed,married,sometimes,yes,3.0,school_bus,> 10,38,57,59
85,male,group C,some college,standard,none,married,regularly,no,1.0,school_bus,,79,78,72
857,female,group E,some high school,free/reduced,completed,divorced,sometimes,no,2.0,school_bus,5 - 10,74,88,79
211,male,group B,bachelor's degree,free/reduced,none,divorced,regularly,,1.0,school_bus,5 - 10,55,55,46
119,female,group D,bachelor's degree,free/reduced,completed,,sometimes,,1.0,school_bus,< 5,89,98,98
832,female,group C,associate's degree,standard,completed,single,regularly,no,3.0,private,5 - 10,45,53,59
237,female,group E,some college,free/reduced,completed,married,regularly,no,5.0,school_bus,5 - 10,56,78,77
835,female,group C,some college,free/reduced,,married,regularly,no,2.0,private,< 5,56,67,69
879,male,,some high school,standard,none,married,regularly,yes,1.0,,> 10,78,67,61
696,female,group D,,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,78,83,82
496,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,< 5,53,47,52
573,male,group B,high school,standard,completed,married,sometimes,no,4.0,school_bus,< 5,64,54,53
423,male,group D,some college,free/reduced,completed,divorced,regularly,no,2.0,school_bus,> 10,61,47,51
709,female,group B,associate's degree,standard,completed,married,sometimes,yes,1.0,private,5 - 10,79,87,88
909,female,group B,associate's degree,standard,completed,divorced,never,yes,3.0,private,< 5,77,92,95
260,male,group E,high school,standard,completed,single,sometimes,no,2.0,private,5 - 10,96,97,90
324,female,group B,some college,free/reduced,none,married,regularly,no,1.0,private,5 - 10,69,79,80
137,female,group B,some college,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,85,94
114,male,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,< 5,84,94,91
334,female,,some college,standard,none,married,sometimes,,1.0,school_bus,5 - 10,56,58,58
51,female,group E,high school,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,97,95,98
962,female,group C,some college,free/reduced,none,married,regularly,yes,1.0,private,> 10,48,65,66
142,male,group D,some college,standard,completed,married,never,no,1.0,school_bus,< 5,81,78,78
136,female,group E,some high school,standard,none,married,regularly,yes,3.0,school_bus,< 5,58,46,54
23,female,group C,associate's degree,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,75,86,91
160,female,group C,some high school,free/reduced,none,married,sometimes,yes,3.0,private,> 10,63,68,71
88,female,group A,high school,standard,none,divorced,never,no,,private,5 - 10,80,87,86
816,female,group D,some high school,free/reduced,completed,married,,yes,1.0,school_bus,> 10,43,49,52
418,male,group B,associate's degree,free/reduced,,married,sometimes,yes,3.0,,5 - 10,49,45,41
904,female,group C,associate's degree,standard,completed,married,sometimes,yes,4.0,private,5 - 10,48,54,59
89,female,group E,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,92,89,88
437,male,group C,master's degree,standard,none,divorced,sometimes,yes,4.0,school_bus,5 - 10,65,65,64
81,male,group A,some college,standard,completed,married,sometimes,no,1.0,private,> 10,57,60,61
512,male,group C,high school,free/reduced,none,married,regularly,no,,private,5 - 10,65,74,70
871,female,group B,some college,standard,completed,single,regularly,yes,2.0,private,< 5,76,86,82
329,male,group B,associate's degree,standard,none,married,regularly,no,,private,> 10,92,90,89
759,female,group B,some college,free/reduced,completed,married,regularly,no,1.0,school_bus,< 5,74,77,92
48,female,group E,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,89,97,93
326,male,group E,some high school,standard,completed,married,regularly,no,1.0,private,5 - 10,89,74,74
164,female,group C,bachelor's degree,standard,none,single,never,yes,3.0,school_bus,5 - 10,58,64,56
101,female,group D,high school,free/reduced,none,married,never,yes,0.0,private,> 10,29,40,33
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69
832,female,group D,,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,60,64,70
192,female,group D,some high school,standard,completed,married,never,no,2.0,school_bus,5 - 10,62,70,69
687,male,group A,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,64,65,63
913,male,group C,high school,free/reduced,none,divorced,regularly,no,2.0,private,5 - 10,57,55,55
711,female,group D,bachelor's degree,standard,completed,married,never,yes,7.0,private,5 - 10,81,88,90
306,male,group B,some high school,free/reduced,none,single,regularly,no,1.0,,5 - 10,42,48,38
683,male,group D,bachelor's degree,standard,completed,single,regularly,yes,2.0,private,< 5,98,90,91
357,male,group B,some college,standard,completed,divorced,sometimes,yes,3.0,,< 5,61,67,69
146,male,group B,associate's degree,free/reduced,none,married,never,yes,3.0,school_bus,< 5,57,58,56
428,female,,high school,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,39,46,40
26,male,group E,bachelor's degree,free/reduced,none,divorced,never,yes,0.0,school_bus,5 - 10,56,53,45
573,male,group B,some college,standard,none,married,regularly,yes,,,5 - 10,78,76,70
223,female,group C,high school,free/reduced,none,married,sometimes,no,2.0,,< 5,48,65,58
201,male,group A,high school,standard,none,married,sometimes,no,4.0,private,> 10,47,40,38
528,female,group C,associate's degree,free/reduced,completed,divorced,sometimes,yes,2.0,school_bus,5 - 10,51,68,74
450,female,group C,associate's degree,free/reduced,none,married,sometimes,no,1.0,school_bus,5 - 10,73,71,75
622,female,group C,some high school,free/reduced,none,married,sometimes,no,3.0,,5 - 10,59,76,75
241,male,group A,associate's degree,standard,none,single,regularly,yes,1.0,school_bus,5 - 10,80,81,74
928,male,,associate's degree,standard,completed,married,regularly,no,1.0,school_bus,5 - 10,52,66,68
357,female,group C,high school,standard,none,,regularly,yes,3.0,,5 - 10,45,55,55
81,female,group C,,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,56,78,75
572,female,group C,some college,standard,none,married,never,yes,3.0,school_bus,5 - 10,55,65,65
617,male,group E,high school,standard,none,,sometimes,,1.0,school_bus,5 - 10,76,62,54
388,female,group C,master's degree,standard,none,,regularly,no,2.0,private,5 - 10,88,98,98
707,male,group D,associate's degree,standard,none,divorced,sometimes,no,2.0,school_bus,5 - 10,80,76,72
858,female,group D,,standard,none,divorced,sometimes,,3.0,school_bus,> 10,82,81,83
956,female,group D,some college,free/reduced,completed,single,sometimes,yes,2.0,school_bus,< 5,69,83,81
442,male,group E,some college,standard,none,married,sometimes,yes,2.0,private,< 5,96,77,74
301,female,group D,,standard,none,married,sometimes,yes,3.0,school_bus,< 5,51,67,69
229,male,group C,some college,standard,none,single,sometimes,yes,,school_bus,> 10,66,55,45
398,male,group C,associate's degree,standard,none,married,sometimes,yes,3.0,private,> 10,75,68,73
435,female,group E,high school,standard,none,married,regularly,no,5.0,school_bus,> 10,84,85,87
983,male,group C,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,78,74,72
254,female,,some high school,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,69,92,85
44,female,group C,bachelor's degree,standard,none,married,regularly,no,4.0,school_bus,5 - 10,58,63,68
212,female,group C,high school,free/reduced,completed,divorced,sometimes,yes,2.0,private,< 5,41,60,57
463,female,group A,high school,standard,completed,married,regularly,no,4.0,,5 - 10,72,73,80
896,male,,some high school,standard,none,single,sometimes,yes,1.0,school_bus,< 5,45,29,37
648,female,group D,,standard,completed,single,sometimes,yes,6.0,private,5 - 10,60,73,75
782,male,group A,master's degree,free/reduced,completed,married,regularly,no,2.0,private,5 - 10,72,65,66
552,female,group C,,standard,none,married,regularly,no,1.0,school_bus,5 - 10,80,81,89
241,female,group B,high school,standard,none,single,sometimes,yes,1.0,,< 5,74,74,68
422,female,group B,some high school,standard,none,single,sometimes,yes,3.0,school_bus,< 5,26,34,30
786,male,group D,some college,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,66,60,65
332,male,group E,master's degree,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,100,94,93
882,male,group C,associate's degree,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,57,58,57
107,female,group C,master's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,84,96,96
478,male,group E,associate's degree,standard,none,married,sometimes,yes,2.0,private,< 5,72,72,66
877,female,group C,,standard,none,married,sometimes,no,1.0,private,5 - 10,69,71,73
78,male,group C,some college,free/reduced,none,married,sometimes,yes,3.0,private,< 5,64,65,58
761,male,group A,some college,free/reduced,completed,married,regularly,yes,4.0,school_bus,5 - 10,61,64,73
153,male,group D,,standard,none,single,never,yes,1.0,school_bus,< 5,73,74,68
457,male,group A,high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,70,59,57
437,female,group C,some college,standard,none,married,never,yes,5.0,school_bus,5 - 10,74,82,77
438,male,group C,high school,standard,none,married,sometimes,yes,1.0,school_bus,> 10,58,51,46
70,male,group C,some college,free/reduced,completed,married,sometimes,yes,1.0,private,5 - 10,57,64,61
834,female,group D,high school,standard,none,married,regularly,no,1.0,private,5 - 10,87,93,95
740,male,group C,some high school,free/reduced,none,married,sometimes,yes,3.0,,5 - 10,35,39,35
714,female,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,< 5,58,67,71
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83,90
546,female,group A,some high school,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,92,100,97
565,male,group C,high school,free/reduced,none,married,sometimes,yes,5.0,school_bus,> 10,60,66,57
730,female,group D,some college,free/reduced,completed,single,,yes,4.0,school_bus,5 - 10,68,76,82
755,female,group A,some college,standard,none,single,regularly,yes,4.0,school_bus,< 5,58,71,68
709,male,group C,some college,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,57,51,52
76,male,group C,high school,standard,completed,married,regularly,yes,,private,< 5,69,63,66
343,male,group C,master's degree,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,85,83,78
786,female,group D,some college,standard,completed,married,sometimes,yes,3.0,private,< 5,43,65,64
491,male,group C,associate's degree,standard,none,married,regularly,no,2.0,school_bus,5 - 10,60,56,58
353,female,group C,associate's degree,standard,completed,divorced,regularly,yes,1.0,private,> 10,95,100,100
761,female,group A,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,60,61,59
347,male,group C,associate's degree,standard,none,married,sometimes,yes,4.0,private,5 - 10,86,83,83
151,female,group C,master's degree,free/reduced,none,married,never,yes,2.0,private,< 5,47,49,54
412,male,group D,some college,free/reduced,completed,married,regularly,no,1.0,private,5 - 10,66,62,67
989,female,group D,some college,free/reduced,completed,married,regularly,yes,3.0,school_bus,5 - 10,69,87,85
458,female,group A,associate's degree,standard,none,single,regularly,no,1.0,,,71,83,79
751,female,group E,bachelor's degree,standard,none,single,never,no,3.0,private,5 - 10,80,91,95
74,female,group D,high school,free/reduced,none,married,sometimes,yes,2.0,,> 10,29,40,36
655,male,group C,some high school,standard,none,divorced,regularly,yes,2.0,,< 5,65,60,57
194,male,group C,some high school,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,89,83,73
99,female,,some high school,standard,none,,sometimes,,1.0,private,< 5,76,81,82
229,female,group D,associate's degree,standard,completed,married,never,yes,,school_bus,< 5,89,97,95
882,female,group D,some high school,standard,completed,married,never,yes,4.0,school_bus,5 - 10,67,78,81
701,female,group E,some high school,standard,none,single,sometimes,no,1.0,,> 10,72,65,61
924,female,group C,master's degree,free/reduced,none,,sometimes,yes,1.0,school_bus,5 - 10,25,44,51
285,male,group B,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80,79
280,male,group D,some college,standard,none,married,regularly,yes,2.0,private,5 - 10,48,44,46
291,male,group B,bachelor's degree,free/reduced,none,divorced,regularly,no,1.0,private,5 - 10,62,65,61
915,female,group C,associate's degree,free/reduced,completed,divorced,sometimes,yes,2.0,private,5 - 10,59,64,63
392,female,group D,some high school,standard,none,married,sometimes,no,2.0,private,5 - 10,58,55,56
279,female,group B,some college,free/reduced,none,single,sometimes,yes,1.0,private,< 5,36,46,43
154,female,group C,bachelor's degree,free/reduced,completed,divorced,sometimes,no,3.0,private,< 5,77,89,95
874,female,group E,some high school,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,54,60,61
144,male,group B,associate's degree,free/reduced,,single,sometimes,no,2.0,school_bus,< 5,36,51,42
994,female,group C,bachelor's degree,standard,none,married,regularly,yes,,private,> 10,72,79,76
776,female,group B,high school,standard,,single,regularly,no,1.0,private,< 5,65,71,70
152,female,group D,high school,standard,none,married,never,no,4.0,private,5 - 10,64,69,68
563,female,group B,master's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,70,78,79
372,female,group C,some college,standard,none,married,sometimes,yes,,school_bus,> 10,78,77,84
205,male,group C,bachelor's degree,free/reduced,none,married,regularly,yes,3.0,,> 10,43,43,41
766,female,,high school,standard,none,divorced,regularly,no,2.0,school_bus,5 - 10,65,61,69
179,male,group B,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,57,52,45
608,male,group D,some high school,free/reduced,none,single,sometimes,yes,3.0,school_bus,5 - 10,29,31,29
483,female,group B,some college,standard,none,married,sometimes,yes,3.0,private,5 - 10,59,69,74
289,female,group D,master's degree,standard,none,single,sometimes,yes,3.0,,> 10,54,69,70
264,male,group A,bachelor's degree,free/reduced,none,divorced,never,no,2.0,,< 5,55,48,42
677,female,,high school,standard,none,married,sometimes,yes,0.0,school_bus,< 5,66,72,67
864,female,group D,associate's degree,standard,completed,divorced,regularly,no,2.0,school_bus,< 5,70,85,87
